id,display_name,description,works_count,cited_by_count,policy_block,policy_subblock,score_core,score_domain,score_context
https://openalex.org/T12502,Urbanization and City Planning,"This cluster of papers explores the phenomenon of urban shrinkage, particularly in post-socialist contexts, analyzing the causes, effects, and policy responses to population loss, vacant land management, suburbanization, and socio-spatial disparities. It delves into the challenges and opportunities for sustainable development in declining cities and examines the dynamics of reurbanization and demographic change.",139729,524038,02_domain_policy_knowledge,urban_housing_transport,1,1,0
https://openalex.org/T13890,Remote Sensing and Land Use,"This cluster of papers focuses on the applications of remote sensing technology in geoscience, agriculture, and environmental monitoring. It covers topics such as hyperspectral imaging, geohazards induced by earthquakes, urban heat island effects, vegetation classification, and the impact of land use change. Additionally, it explores the use of remote sensing for assessing earthquake damage, monitoring medicinal plants, and analyzing spatial patterns in various environments.",127113,262050,02_domain_policy_knowledge,urban_housing_transport,0,5,0
https://openalex.org/T10698,Transportation Planning and Optimization,"This cluster of papers focuses on understanding attitudes towards public transport, travel behavior, service quality, route choice, congestion pricing, transit network design, travel time reliability, user satisfaction, traffic assignment, and urban mobility.",113169,925635,02_domain_policy_knowledge,urban_housing_transport,0,6,0
https://openalex.org/T11942,Transportation and Mobility Innovations,"This cluster of papers explores the implications of shared autonomous vehicle services, including topics such as ridesharing, mobility as a service, dynamic ride-sharing, environmental impacts, urban transportation, agent-based modeling, carsharing systems, public transit integration, and autonomous vehicle adoption.",84063,481482,02_domain_policy_knowledge,urban_housing_transport,0,7,0
https://openalex.org/T11223,Maritime Ports and Logistics,"This cluster of papers focuses on the optimization of container terminal operations and logistics, utilizing operations research methods to address challenges such as berth allocation, quay crane scheduling, port efficiency, and intermodal freight transport. The research also explores the role of container terminals in supply chain management and the development of port infrastructure.",81846,383612,02_domain_policy_knowledge,urban_housing_transport,0,2,0
https://openalex.org/T14389,"Innovation, Technology, and Society","This cluster of papers explores the concept of social innovation, emphasizing interdisciplinary research networks, innovation policy, sustainable development, knowledge engineering, digital social innovation, organizational innovation, empowerment, urban development, and innovation theory. The papers cover a wide range of topics related to the societal impact of innovation and the role of interdisciplinary collaboration in driving social change.",61307,133082,02_domain_policy_knowledge,urban_housing_transport,1,16,0
https://openalex.org/T13513,Urban and sociocultural dynamics,"This cluster of papers explores urban ethnography, social dynamics, and cultural identity within the context of globalization, youth culture, and public space. It delves into community engagement, visual anthropology, and the sociocultural experience, shedding light on local governance and the complexities of urban life.",50144,46440,02_domain_policy_knowledge,urban_housing_transport,2,6,5
https://openalex.org/T13601,Urban Transport Systems Analysis,"This cluster of papers focuses on the planning, modeling, and management of transportation systems, with an emphasis on digital technologies, quality management, urban traffic, dependability, infrastructure, logistics, and cyber security.",44224,41774,02_domain_policy_knowledge,urban_housing_transport,0,12,0
https://openalex.org/T12690,Cross-Border Cooperation and Integration,"This cluster of papers explores the dynamics of cross-border regions in Europe and North America, focusing on territorial governance, European integration, border cooperation, regional identity, transnational collaboration, spatial planning, metropolitan integration, policy networks, and cross-border mobility.",44130,126885,02_domain_policy_knowledge,urban_housing_transport,3,0,2
https://openalex.org/T11980,Human Mobility and Location-Based Analysis,"This cluster of papers focuses on understanding human mobility patterns using various sources of data such as GPS, mobile phone, and smart card data. It explores topics related to transportation modes, urban analysis, population movements, and travel behavior. The research aims to uncover the spatial and temporal dynamics of human mobility at both individual and collective levels.",42746,486275,02_domain_policy_knowledge,urban_housing_transport,0,2,0
