id,display_name,description,works_count,cited_by_count,policy_block,policy_subblock,score_core,score_domain,score_context
https://openalex.org/T13370,Diverse Scientific and Economic Studies,"This cluster of papers covers topics related to dynamic economic modeling, financial analysis, monetary policy, asset pricing, panel data models, market competition, investment contracts, and macroeconomic time series. It explores various aspects of economic evaluation, stock prices, fiscal stabilizations, and the impact of different macroeconomic variables on financial markets.",2990873,239202,02_domain_policy_knowledge,economy_finance_business,3,1,0
https://openalex.org/T10128,Global trade and economics,"This cluster of papers explores the impact of international trade on productivity, firm-level dynamics, and economic growth. It covers topics such as trade liberalization, firm-level data analysis, globalization, technology, market size, innovation, and economic development.",231698,1999643,02_domain_policy_knowledge,economy_finance_business,0,9,0
https://openalex.org/T11365,Islamic Finance and Banking Studies,"This cluster of papers explores various aspects of Islamic banking and finance, including its business model, efficiency, stability, risk management, ethical identity, corporate governance, customer preferences, and performance analysis. The literature also delves into the impact of the global financial crisis on Islamic and conventional banks. It provides insights into the differences and similarities between Islamic and conventional banking systems, as well as the role of Islamic banking in economic growth.",197630,730530,02_domain_policy_knowledge,economy_finance_business,2,12,1
https://openalex.org/T11891,Big Data and Business Intelligence,"This cluster of papers explores the impact of big data analytics on business performance, with a focus on supply chain management, predictive analytics, data science, and decision support systems. It delves into the challenges and opportunities of leveraging big data for firm performance and sustainability, as well as the integration of business intelligence and knowledge management. The research also examines the role of big data in innovation, risk mitigation, and operational transparency within organizations.",184310,1202264,02_domain_policy_knowledge,economy_finance_business,0,1,0
https://openalex.org/T10127,"Banking stability, regulation, efficiency","This cluster of papers explores various aspects of banking and finance, including liquidity, credit crunch, systemic risk, regulatory policies, monetary policy, small business lending, and the impact of financial crises on economic systems.",162456,1847223,02_domain_policy_knowledge,economy_finance_business,3,6,0
https://openalex.org/T11817,"Housing, Finance, and Neoliberalism","This cluster of papers explores the extensive impact of financialization on the American economy, with a focus on shareholder value, housing, capital accumulation, neoliberalism, income inequality, urban redevelopment, and asset-based welfare. The papers delve into the transformation of corporate governance, the role of finance in shaping housing policies and welfare systems, and the implications of financialization for income distribution and urban development.",130600,870773,02_domain_policy_knowledge,economy_finance_business,3,14,1
https://openalex.org/T10632,Housing Market and Economics,"This cluster of papers explores the consequences of mortgage credit expansion, housing supply dynamics, property values, and the impact of factors such as foreclosure, urban development, and homeownership on the housing market. It delves into the complexities of the real estate market and its interplay with economic variables.",130287,1259676,02_domain_policy_knowledge,economy_finance_business,0,13,0
https://openalex.org/T12394,Insurance and Financial Risk Management,"This cluster of papers explores the economic implications of insurance market dynamics, including the relationship between insurance and economic growth, risk management strategies, catastrophe bonds, market efficiency, reinsurance practices, financial performance of insurance companies, regulatory impact, and capital allocation.",120818,458610,02_domain_policy_knowledge,economy_finance_business,0,9,0
https://openalex.org/T10067,Stochastic processes and financial applications,"This cluster of papers focuses on the theory and applications of option pricing models, including topics such as stochastic calculus, jump diffusion, volatility modeling, mean field games, term structure models, risk premia, Monte Carlo simulation, and market microstructure noise in the context of financial economics.",114457,1484067,02_domain_policy_knowledge,economy_finance_business,0,1,0
https://openalex.org/T12428,Global Trade and Competitiveness,"This cluster of papers explores the concept and measurement of regional competitiveness, focusing on indices, revealed comparative advantage, global competitiveness reports, and their implications for regional development policy. It delves into the relationship between international specialization, sustainable development, and firm competitiveness, while also examining trade patterns and the application of Michael Porter's framework in assessing national productivity.",111358,407747,02_domain_policy_knowledge,economy_finance_business,1,5,0
https://openalex.org/T10393,Economic Growth and Productivity,"This cluster of papers explores the relationship between institutions, technology diffusion, human capital, and economic growth. It investigates the impact of factors such as educational attainment, R&D, demographic transition, and regional convergence on productivity growth and economic development. The empirical investigations and theories presented in these papers provide insights into the determinants of long-term economic growth.",108772,1846521,02_domain_policy_knowledge,economy_finance_business,1,1,0
https://openalex.org/T10415,International Business and FDI,"This cluster of papers focuses on the international business strategies of multinational enterprises, particularly in emerging economies. It explores topics such as foreign direct investment, institutional environments, internationalization processes, market entry strategies, innovation, entrepreneurship, and their impact on economic growth and globalization.",104573,1388294,02_domain_policy_knowledge,economy_finance_business,1,4,0
https://openalex.org/T11059,Market Dynamics and Volatility,"This cluster of papers focuses on the impact of oil price shocks on the global economy, including the stock market, volatility spillovers, commodity markets, and the macroeconomic effects of economic policy uncertainty. It explores the role of financialization, speculation, and monetary policy in shaping the response to oil price fluctuations.",100090,1336871,02_domain_policy_knowledge,economy_finance_business,3,5,0
https://openalex.org/T12675,Financial Reporting and Valuation Research,"This cluster of papers focuses on value-based management, economic performance measurement, and corporate valuation. It explores concepts such as Economic Value Added, Shareholder Value, Cash Flow Valuation, WACC, Market Value Added, and Sustainable Growth Rate. The papers also delve into the relationship between performance measures and wealth creation, as well as the impact of tax shields on financial performance.",96559,402532,02_domain_policy_knowledge,economy_finance_business,1,1,0
https://openalex.org/T10880,Environmental Sustainability in Business,"This cluster of papers explores the drivers, impacts, and implications of green consumer behavior, environmental innovation, and sustainable business practices. It delves into topics such as corporate environmental strategy, green marketing, ethical consumption, and the influence of stakeholders on sustainability practices. The research also investigates the relationship between consumer behavior and environmental management, aiming to understand the motivations and barriers to green consumption.",93882,1516790,02_domain_policy_knowledge,economy_finance_business,0,8,0
https://openalex.org/T11711,COVID-19 Pandemic Impacts,"This cluster of papers explores the multifaceted impacts of the COVID-19 pandemic on global economy, financial markets, consumer behavior, and food supply chains. It delves into the effects on business, stock market volatility, digital transformation, and the interconnectedness of global trade networks. The research also examines the pandemic's influence on household consumption, poverty, and the resilience of food systems.",91071,521272,02_domain_policy_knowledge,economy_finance_business,0,6,0
https://openalex.org/T10987,Microfinance and Financial Inclusion,"This cluster of papers focuses on the intersection of microfinance, gender empowerment, and economic development. It explores the impact of microfinance on poverty reduction, financial inclusion, and women's empowerment, with a particular emphasis on access to finance, social capital, and the role of mobile money in promoting economic opportunities for the poor.",86373,601772,02_domain_policy_knowledge,economy_finance_business,0,2,0
https://openalex.org/T11047,Gender Diversity and Inequality,"This cluster of papers explores the impact of gender diversity, leadership, and board diversity on organizational performance, workplace bias, and the presence of a glass ceiling. It delves into topics such as stereotypes, corporate governance, team diversity, and inclusion in the context of gender diversity in organizations.",83291,1229948,02_domain_policy_knowledge,economy_finance_business,2,4,0
https://openalex.org/T11995,"FinTech, Crowdfunding, Digital Finance","This cluster of papers explores the dynamics of crowdfunding, fintech, and peer-to-peer lending, focusing on investment decisions, social capital, credit risk assessment, and the impact of financial innovation on online platforms. It also delves into the regulatory implications of these emerging financial models.",82651,408847,02_domain_policy_knowledge,economy_finance_business,0,9,0
https://openalex.org/T10539,Sustainable Supply Chain Management,"This cluster of papers explores the conceptualization and implementation of the circular economy, with a focus on sustainable supply chain management, green practices, supply chain network design, remanufacturing, and business model innovation. It emphasizes the integration of environmental management and resource efficiency into product design and supply chain operations to achieve triple bottom line sustainability.",76892,1575088,02_domain_policy_knowledge,economy_finance_business,0,2,0
https://openalex.org/T10115,Corporate Social Responsibility Reporting,"This cluster of papers explores the relationship between corporate social responsibility (CSR) and financial performance, with a focus on stakeholder theory, sustainability reporting, environmental disclosure, shareholder value, business ethics, socially responsible investment, and strategic CSR. The papers analyze the impact of CSR on firm reputation, customer behavior, market value, risk management, and organizational commitment.",74664,1623247,02_domain_policy_knowledge,economy_finance_business,0,2,0
https://openalex.org/T11903,Private Equity and Venture Capital,"This cluster of papers focuses on the role of venture capital in financing start-up firms, assessing its contribution to innovation, the impact of private equity, financial contracting theories, syndication networks, and the relationship between venture capitalists and entrepreneurs. It also explores topics such as corporate governance, angel investment, and the growth of high-tech companies.",71687,559315,02_domain_policy_knowledge,economy_finance_business,2,2,0
https://openalex.org/T10344,Management and Organizational Studies,"This cluster of papers focuses on institutional theory, organizational change, and the dynamics of institutions within organizations. It explores topics such as institutional entrepreneurship, sensemaking, identity work, institutional logics, professionalism, organizational identity, social movements, and market dynamics.",70820,2061726,02_domain_policy_knowledge,economy_finance_business,4,2,2
https://openalex.org/T11043,Merger and Competition Analysis,"This cluster of papers explores competition, collusion, and market structure dynamics in various industries. It covers topics such as collusion detection, vertical integration, price discrimination, R&D incentives, the role of leniency programs in antitrust enforcement, and the impact of oligopolistic behavior on market outcomes. The cluster also delves into the complexities of gasoline pricing and the implications for competition policy.",69878,582100,02_domain_policy_knowledge,economy_finance_business,1,3,0
https://openalex.org/T12922,Business and Economic Development,"This cluster of papers focuses on the assessment of sustainable development indicators, strategies, and impacts, including renewable energy, green investments, energy efficiency, social safety, information economy, environmental management, financial security, innovation development, and macroeconomic stability. The papers cover a wide range of topics related to the intersection of economic, environmental, and social factors in the pursuit of sustainable development.",69348,184750,02_domain_policy_knowledge,economy_finance_business,0,5,0
https://openalex.org/T12121,Cooperative Studies and Economics,"This cluster of papers explores the governance, ownership structures, member participation, and organizational principles of cooperatives and mutual associations, with a focus on agricultural cooperatives and worker-owned firms. It delves into topics such as the impact of trust on cooperative membership, the role of cooperatives in rural community development, and the challenges and opportunities for cooperative finance. The cluster also examines the social economy, employee ownership, and the implications of cooperative models for sustainable economic development.",67191,188433,02_domain_policy_knowledge,economy_finance_business,2,3,0
https://openalex.org/T12399,Wine Industry and Tourism,"This cluster of papers focuses on the factors influencing wine tourism, consumer behavior, and wine choice. It explores topics such as sustainability, regional branding, market segmentation, environmental practices, winery visits, quality perception, and the economic implications of wine tourism. The research delves into understanding the motivations and preferences of wine tourists and consumers, as well as the impact of various factors on their decision-making processes.",66772,317666,02_domain_policy_knowledge,economy_finance_business,0,6,0
https://openalex.org/T12786,Innovation and Socioeconomic Development,"This cluster of papers focuses on frugal innovation, entrepreneurship, and market strategies in emerging markets, particularly targeting the bottom of the pyramid. It explores inclusive business models, sustainable development, and the role of innovation in poverty alleviation and social impact.",66505,458930,02_domain_policy_knowledge,economy_finance_business,0,9,0
https://openalex.org/T12851,Firm Innovation and Growth,"This cluster of papers explores the evolution of firm size distribution, innovation's impact on firm survival and employment, growth rates, R&D influence, industry dynamics, small firms' behavior, technological change, market entry effects, and profitability.",66035,859558,02_domain_policy_knowledge,economy_finance_business,0,8,0
https://openalex.org/T11437,Digital Platforms and Economics,"This cluster of papers focuses on the competition and dynamics within two-sided markets, with a particular emphasis on platform competition, network effects, ecosystem innovation, technology standards, and price discrimination. The research explores the impact of network externalities and digital business models on market strategies and innovation.",60751,593198,02_domain_policy_knowledge,economy_finance_business,0,9,0
https://openalex.org/T11789,Land Rights and Reforms,"This cluster of papers explores the complex dynamics of land tenure, property rights, and their impact on agricultural investment, gender inequality, and rural development. It delves into issues such as customary tenure, land fragmentation, tenure security, legal pluralism, and the implications of land reform in various regions.",58997,412359,02_domain_policy_knowledge,economy_finance_business,1,3,0
https://openalex.org/T11843,Family Business Performance and Succession,"This cluster of papers focuses on the study and management of family businesses, covering topics such as socioemotional wealth, agency relationships, entrepreneurship, succession planning, corporate governance, innovation, social capital, internationalization, and stewardship.",58759,645302,02_domain_policy_knowledge,economy_finance_business,2,2,0
