id,display_name,description,works_count,cited_by_count,policy_block,policy_subblock,score_core,score_domain,score_context
https://openalex.org/T13275,Medical and Health Sciences Research,"This cluster of papers covers a wide range of ethical and legal issues in medicine, including patient rights, reproductive medicine, healthcare law, informed consent, end-of-life care, bioethics, telemedicine, genetic testing, and physician liability.",295218,191817,02_domain_policy_knowledge,health_and_healthcare,2,9,0
https://openalex.org/T13099,"Health, Medicine and Society","This cluster of papers explores the impact of healthcare legislation on medical practice, patient rights, mental health, ethical considerations, and end-of-life care. It delves into topics such as psychological trauma, palliative care, professional responsibility, and public health policy. The papers discuss the challenges and successes of implementing healthcare laws and regulations in various contexts.",256917,146500,02_domain_policy_knowledge,health_and_healthcare,1,11,0
https://openalex.org/T14495,Public Health and Nutrition,"This cluster of papers focuses on maternal and child health services, with an emphasis on preventing stunting and non-communicable diseases. It covers topics such as stunting prevention, maternal and child nutrition, health education, community empowerment, breastfeeding, healthcare training, public health policy, and healthcare quality management.",228648,380693,02_domain_policy_knowledge,health_and_healthcare,1,15,0
https://openalex.org/T14186,Healthcare Systems and Practices,"This cluster of papers explores healthcare policy reforms, challenges of inequalities, and the pursuit of universal health coverage in France. It covers topics such as public health, social determinants of health, healthcare management, financing, and quality indicators. The papers also delve into the impact of digital health and the role of primary care in addressing these issues.",190754,109854,02_domain_policy_knowledge,health_and_healthcare,1,12,0
https://openalex.org/T10804,"Health Systems, Economic Evaluations, Quality of Life","This cluster of papers focuses on the intersection of health economics and quality of life assessment, with a particular emphasis on cost-effectiveness analysis, health utility measures such as EQ-5D and SF-36, quality-adjusted life years (QALY), health technology assessment, and preference-based measures for evaluating the economic impact of healthcare interventions.",183021,2322492,02_domain_policy_knowledge,health_and_healthcare,0,9,0
https://openalex.org/T12339,Medical Malpractice and Liability Issues,"This cluster of papers explores the impact of medical malpractice on the healthcare system, including topics such as malpractice risk, defensive medicine, patient complaints, tort reform, physician liability, healthcare quality, medicolegal analysis, clinical guidelines, physician behavior, and litigation outcomes.",141224,401576,02_domain_policy_knowledge,health_and_healthcare,0,7,0
https://openalex.org/T11537,Ethics in medical practice,"This cluster of papers explores the concept of moral distress in healthcare professionals, particularly focusing on nurses and physicians in intensive care units. It delves into the ethical climate, nurse-physician collaboration, burnout, autonomy, and the role of ethics consultation in addressing moral distress. The papers also discuss the impact of moral distress on job satisfaction, turnover intentions, and professional quality of life.",139806,869601,02_domain_policy_knowledge,health_and_healthcare,0,6,0
https://openalex.org/T13695,"Aging, Elder Care, and Social Issues","This cluster of papers explores various aspects of elderly care, aging population, societal impact, and policy implications. It covers topics such as challenges in providing care for the elderly, changing patterns of youth employment in urban areas, intergenerational relationships, residential mobility during retirement, and the impact of cultures on family support for the elderly. The papers also discuss the implications of aging on healthcare systems, social support structures, and the overall quality of life for the elderly population.",137557,154659,02_domain_policy_knowledge,health_and_healthcare,1,3,0
https://openalex.org/T10010,"Obesity, Physical Activity, Diet","This cluster of papers covers a wide range of topics related to obesity and overweight, including global prevalence, health effects, childhood obesity, physical activity, dietary risks, and public health implications. The research encompasses epidemiological studies, systematic analyses, and reviews aimed at understanding the causes, consequences, and potential interventions for addressing the obesity epidemic.",137146,3548381,02_domain_policy_knowledge,health_and_healthcare,0,4,0
https://openalex.org/T10312,"Health, Nursing, Elderly Care","This cluster of papers explores the evolution, challenges, and innovations in the healthcare system in Brazil. It covers topics such as the Brazilian health system, primary care, chronic diseases, quality of life, community-based care, aging population, health policy, social determinants of health, and healthcare access.",130883,331567,02_domain_policy_knowledge,health_and_healthcare,1,13,1
