id,display_name,description,works_count,cited_by_count,policy_block,policy_subblock,score_core,score_domain,score_context
https://openalex.org/T13053,SMEs Development and Digital Marketing,"This cluster of papers explores the impact of the Covid-19 pandemic on small and medium enterprises (SMEs) in Indonesia, focusing on topics such as economic impact, digital marketing, e-commerce, financial performance, and the use of social media. The papers also discuss strategies for SMEs to survive and thrive during the pandemic.",228180,390439,02_domain_policy_knowledge,technology_industry_digital,0,5,1
https://openalex.org/T10557,Social Media and Politics,"This cluster of papers explores the impact of digital media, particularly social media, on public discourse, political participation, and the concept of deliberative democracy. It delves into topics such as the digital divide, online communication, civic engagement, and the role of information technology in shaping the public sphere.",127939,1818898,02_domain_policy_knowledge,technology_industry_digital,1,3,0
https://openalex.org/T11769,Copyright and Intellectual Property,"This cluster of papers explores the impact of digital piracy on creative industries, focusing on music and software. It delves into the dynamics of file sharing, ethical decision making, consumer behavior, economic implications, and the role of copyright and intellectual property rights. The research also investigates the effects of online streaming services and the challenges faced by the music industry in the digital age.",60997,150058,02_domain_policy_knowledge,technology_industry_digital,1,4,0
https://openalex.org/T14139,E-commerce and Technology Innovations,"This cluster of papers focuses on the drivers, barriers, and implications of cross-border e-commerce, particularly within the context of logistics, digital technologies, supply chain integration, risk assessment, and economic development. It explores topics such as the role of digital technologies and capabilities, adoption of technological innovations, impact on international trade, risk assessment using text mining and fuzzy reasoning, and the development of cross-border e-commerce platforms.",55808,97103,02_domain_policy_knowledge,technology_industry_digital,0,7,0
https://openalex.org/T13726,International Science and Diplomacy,"This cluster of papers explores the intersection of science, technology, and foreign affairs, with a focus on science diplomacy, national approaches to S&T policies, innovation diplomacy, and the impact of research infrastructures on international relations. It delves into the role of biomedical research, governance in networks, and the economic impact of technological procurement. The papers also discuss the challenges and opportunities in global collaboration and highlight the importance of diplomatic knowledge in shaping science and technology policies.",47339,77647,02_domain_policy_knowledge,technology_industry_digital,4,3,0
https://openalex.org/T13191,Dispute Resolution and Class Actions,"This cluster of papers focuses on the role of online dispute resolution (ODR) in the context of global trade, with a specific emphasis on consumer redress, class actions, regulatory challenges, e-commerce, mediation, arbitration, and the use of artificial intelligence. The papers explore the challenges and opportunities of implementing ODR systems for cross-border disputes and highlight the evolving landscape of dispute resolution in the digital age.",47033,57480,02_domain_policy_knowledge,technology_industry_digital,0,2,0
https://openalex.org/T12221,Cybersecurity and Cyber Warfare Studies,"This cluster of papers explores the global governance, security, and warfare in cyberspace, covering topics such as cyber security, internet governance, digital sovereignty, public-private partnerships, international law, information warfare, cyber deterrence, and state control. It delves into the complexities of attributing cyber attacks, the role of non-state actors, and the challenges of regulating and defending the digital domain.",45036,172070,02_domain_policy_knowledge,technology_industry_digital,5,2,0
https://openalex.org/T13498,Economic Development and Digital Transformation,"This cluster of papers explores the impact of technological revolutions, innovation policy, and socioeconomic change on the global economy. It delves into topics such as human capital theory, demographic transition, industrial policy, and the dynamics of revolutionary waves. The papers also discuss the influence of digital transformation, globalization, and economic development in the context of technological revolutions.",43550,193023,02_domain_policy_knowledge,technology_industry_digital,2,7,0
https://openalex.org/T13321,"Radio, Podcasts, and Digital Media","This cluster of papers explores the evolution of podcasting as a medium, its association with traditional radio, the motivations of podcast users, the impact of true crime podcasts, and the role of podcasting in digital publishing and journalism. It also delves into the social and cultural aspects of podcasting, user engagement, and the revival of audio storytelling.",43381,61774,02_domain_policy_knowledge,technology_industry_digital,0,6,1
https://openalex.org/T14282,"Security, Politics, and Digital Transformation","This cluster of papers explores the concept of digital sovereignty, focusing on its implications in transition economies such as Hungary and Iran. It covers a wide range of topics including information security, legal regulation of digital assets, communication regimes, artificial intelligence, cryptocurrency, and the impact on national security in the context of globalization.",37284,25086,02_domain_policy_knowledge,technology_industry_digital,2,6,0
https://openalex.org/T14349,Global Political and Economic Relations,"This cluster of papers focuses on the Eurasian economic integration, global trade, and geopolitics, with an emphasis on the Eurasian Economic Union, Belt and Road Initiative, high-tech sector, and digital economy. It explores topics such as international relations, regional integration, economic security, and sustainable development within the context of Eurasia.",35740,23764,02_domain_policy_knowledge,technology_industry_digital,0,2,2
https://openalex.org/T12481,Digital Accessibility for Disabilities,"This cluster of papers focuses on web accessibility, usability evaluation, and the digital disability divide. It explores topics such as the impact of accessibility barriers, user experience for individuals with disabilities, e-government website accessibility, and the social impact of technology on people with disabilities.",29028,115836,02_domain_policy_knowledge,technology_industry_digital,2,6,0
https://openalex.org/T13799,Media and Communication Studies,"This cluster of papers encompasses a wide range of topics within media and communication studies, including mediatization, social change, digital age, journalism, social media, and organizational communication. It explores the impact of media on culture, society, and politics, as well as the evolving nature of communication in the digital era.",21840,8530,02_domain_policy_knowledge,technology_industry_digital,0,2,1
https://openalex.org/T14457,Intellectual Property Rights and Media,"This cluster of papers covers a wide range of topics related to intellectual property rights, media regulation, and digital media. It includes discussions on copyright law, competition law enforcement in the media sector, authorship in academic publishing, public information systems, data privacy, software quality in information systems, and the impact of social media on image rights. The papers also delve into the challenges and complexities of enforcing intellectual property rights in the digital age.",17638,20762,02_domain_policy_knowledge,technology_industry_digital,2,2,0
https://openalex.org/T12958,Digital Economy and Transformation,"This cluster of papers explores the intersection of digital economy, sustainable development, and global competitiveness. It covers topics such as digital transformation, sustainable development goals, economic performance, innovation networks, knowledge management, industrial policy, human capital management, entrepreneurial leadership, and the impact of social media on politics. The papers provide insights into the challenges, opportunities, and prospects in the evolving landscape of the digital economy and its implications for global sustainable development.",7917,6282,02_domain_policy_knowledge,technology_industry_digital,1,10,0
https://openalex.org/T11499,ICT Impact and Policies,"This cluster of papers focuses on the relationship between telecommunications infrastructure, economic development, and digital divide. It covers topics such as the impact of ICT on economic growth, broadband access in rural areas, network neutrality, and the diffusion of mobile telecommunications services. The cluster also discusses the role of regulation and policy in bridging the digital divide and promoting equitable access to telecommunications technologies.",149366,720488,02_domain_policy_knowledge,technology_industry_digital,5,4,0
https://openalex.org/T13364,"Digitalization, Law, and Regulation","This cluster of papers explores the legal implications of digital technologies, covering topics such as data protection, artificial intelligence, cybersecurity, autonomous vehicles, big data, robotics liability, privacy regulations, the internet of things, and economic sanctions. It delves into the challenges and opportunities presented by the digital transformation across various sectors and addresses ethical and regulatory considerations in the use of digital technologies.",79461,49892,02_domain_policy_knowledge,technology_industry_digital,5,3,0
https://openalex.org/T13851,"Law, AI, and Intellectual Property","This cluster of papers explores the intersection of cyberbiosecurity, artificial intelligence, and legal implications, focusing on regulatory challenges, ethical issues, and innovation policy. It discusses the emerging discipline of cyberbiosecurity to safeguard the bioeconomy, the impact of AI technology on patent law, and the digitalization of legal fields. The papers also address copyright protection for AI-generated works and the role of technology in biological disaster management.",31207,58315,02_domain_policy_knowledge,technology_industry_digital,8,4,0
https://openalex.org/T13643,Artificial Intelligence in Law,"This cluster of papers focuses on the application of predictive legal technology, including machine learning, natural language processing, and artificial intelligence, to forecast judicial decisions in various courts. The topics also cover the use of big data and behavior control in legal contexts, as well as the ethical implications of integrating technology into the legal profession.",25497,69705,02_domain_policy_knowledge,technology_industry_digital,7,2,0
https://openalex.org/T13475,Digital Transformation in Law,"This cluster of papers explores the impact of digitalization on the economy and society, focusing on topics such as the digital economy, legal regulation in the digital space, genetic information, artificial intelligence, energy efficiency, blockchain technology, socio-economic inequality, smart contracts, information security, and innovation development. The papers cover a wide range of interdisciplinary aspects related to the digital transformation of various sectors and its implications for both the economy and society.",24684,22370,02_domain_policy_knowledge,technology_industry_digital,6,11,0
https://openalex.org/T10953,E-Government and Public Services,"This cluster of papers explores the evolution, impact, and challenges of E-Government initiatives, focusing on transparency, trust, social media, open data, citizen engagement, ICTs, government services, accountability, and the role of the public sector.",49750,437846,02_domain_policy_knowledge,technology_industry_digital,12,0,0
https://openalex.org/T11572,Information Technology Governance and Strategy,"This cluster of papers focuses on the factors influencing the alignment between information technology and business strategies, as well as the governance mechanisms for IT. It explores topics such as enterprise architecture, strategic information systems planning, CIO roles, IT governance maturity, and the impact of IT alignment on organizational performance.",44827,398119,02_domain_policy_knowledge,technology_industry_digital,12,5,0
https://openalex.org/T14467,"Public Administration, ICT, and Policy Development","This cluster of papers explores the development, impact, and coordination of economic clusters, including the role of logistics industry, innovation systems, and supply chains. It also delves into the influence of public policy on regional innovation, sustainability, and higher education. The papers cover a wide range of topics related to economic clusters and their significance in driving economic development.",7168,5736,02_domain_policy_knowledge,technology_industry_digital,10,4,0
https://openalex.org/T10763,Digital Transformation in Industry,"This cluster of papers focuses on the digital transformation of manufacturing systems, with an emphasis on Industry 4.0 technologies such as Digital Twin, Smart Manufacturing, Cyber-Physical Systems, Big Data, and Internet of Things. It explores the integration of these technologies to improve sustainability, lean production, supply chain management, and the development of maturity models for assessing readiness and maturity in manufacturing enterprises.",83553,902399,02_domain_policy_knowledge,technology_industry_digital,0,11,0
https://openalex.org/T12238,Green IT and Sustainability,"This cluster of papers focuses on the energy consumption of mobile devices, particularly smartphones, and the associated networks. It covers topics such as power estimation, battery behavior, green IT principles, wireless network performance, sustainability, and information systems' impact on environmental emissions.",40856,248650,02_domain_policy_knowledge,technology_industry_digital,0,2,0
https://openalex.org/T11938,ERP Systems Implementation and Impact,"This cluster of papers focuses on the critical success factors, implementation procedures, and impact of Enterprise Resource Planning (ERP) systems, with a specific emphasis on organizational fit, change management strategies, and supply chain management. It also explores the challenges and benefits of ERP implementation in small and medium-sized enterprises, as well as the role of IT governance and knowledge sharing in successful ERP projects.",37130,252619,02_domain_policy_knowledge,technology_industry_digital,2,0,0
https://openalex.org/T14147,Innovative Approaches in Technology and Social Development,"This cluster of papers focuses on the concept of Living Labs, which are open-innovation networks that employ user-centric and participatory design methodologies to drive innovation, particularly in the public sector and urban environments. The papers explore topics such as open innovation, user engagement, co-creation, policy innovation, and the development of information and communication technology (ICT) within the context of Living Labs.",54819,274600,02_domain_policy_knowledge,technology_industry_digital,1,11,0
https://openalex.org/T10270,Blockchain Technology Applications and Security,"This cluster of papers explores the integration of blockchain technology with the Internet of Things (IoT), focusing on topics such as smart contracts, security, supply chain management, decentralization, cryptocurrencies, privacy, energy sector applications, and healthcare. The papers cover a wide range of applications and challenges in utilizing blockchain for IoT-related scenarios.",136586,1478469,02_domain_policy_knowledge,technology_industry_digital,0,7,0
https://openalex.org/T13194,ICT in Developing Communities,"This cluster of papers focuses on the use of Information and Communication Technologies for Development (ICTD) in rural communities, with a specific emphasis on mobile technology, digital empowerment of low-literacy users, and the role of ICT in improving access to education, healthcare, and economic opportunities. The research explores user interface design, ICT skills training, and the impact of mobile technology on global development efforts.",51871,163960,02_domain_policy_knowledge,technology_industry_digital,0,6,0
https://openalex.org/T14484,Technology and Data Analysis,"This cluster of papers covers a wide range of topics related to the analysis and application of big data in various industries, including smart factory implementation, quality management, text mining, social media analysis, health innovation, and customer satisfaction. The papers also explore the use of machine learning and data analysis techniques in different sectors such as manufacturing systems, healthcare, and transportation. The research emphasizes the growing importance of big data analysis for decision-making and innovation across diverse fields.",51456,125111,02_domain_policy_knowledge,technology_industry_digital,0,10,0
https://openalex.org/T13904,Artificial Intelligence Applications,"This cluster of papers covers a wide range of topics related to artificial intelligence, technology innovation, and their impact on various domains such as business, healthcare, education, and social governance. It includes discussions on neural networks, deep learning, machine learning, digital transformation, data mining, robotics, and the internet of things.",15690,6397,02_domain_policy_knowledge,technology_industry_digital,2,5,0
https://openalex.org/T14447,Trade Secret Protection Methods,"This cluster of papers focuses on the intersection of healthcare, knowledge management, and information technology. It explores topics such as ethical considerations in healthcare, data mining for knowledge-driven healthcare processes, the integration of IT in healthcare delivery, and the protection of trade secrets in the context of healthcare innovation and management. The cluster also delves into the application of telehealth systems, e-health paradigms, and security systems for healthcare information.",6669,5752,02_domain_policy_knowledge,technology_industry_digital,0,14,0
https://openalex.org/T13647,AI and Big Data Applications,"This cluster of papers covers a wide range of topics related to smart technology and data analytics applications, including artificial intelligence, internet of things, deep learning, wireless sensor networks, big data analytics, computer network security, virtual reality technology, cloud computing, and smart city technology. The papers explore the integration of advanced technologies in various domains such as healthcare monitoring systems, renewable energy generation, disaster response systems, intelligent transportation, education, and environmental monitoring.",3574,9480,02_domain_policy_knowledge,technology_industry_digital,0,9,0
https://openalex.org/T10734,Information and Cyber Security,"This cluster of papers focuses on information security policy compliance, awareness, and behavioral intentions in organizations. It covers topics such as deterrence, attack graphs, risk management, insider threats, game theory, and cybersecurity. The papers explore the influence of rationality-based beliefs, fear appeals, and protection motivation on security behaviors, as well as the role of top management and organizational culture in improving compliance with information security policies.",89339,508698,02_domain_policy_knowledge,technology_industry_digital,2,0,1
https://openalex.org/T11424,Security and Verification in Computing,"This cluster of papers focuses on language-based information flow security, addressing topics such as enforceable security policies, control-flow integrity, side-channel attacks, dynamic taint analysis, and trusted execution environments. It also explores techniques for memory protection, virtualization, software diversity, and hardware security.",37711,446452,02_domain_policy_knowledge,technology_industry_digital,1,1,0
https://openalex.org/T10927,Access Control and Trust,"This cluster of papers explores trust and reputation systems, role-based access control, and security mechanisms in online environments such as P2P networks and electronic communities. It covers topics like trust management, reputation models, access control policies, and their application in semantic web and multi-agent systems.",37702,322995,02_domain_policy_knowledge,technology_industry_digital,1,1,0
https://openalex.org/T14347,Big Data and Digital Economy,"This cluster of papers focuses on the intersection of big data and cloud computing technologies, with an emphasis on security, energy efficiency, machine learning, IoT, privacy protection, resource allocation, and cybersecurity in the context of mobile sensing. The papers cover a wide range of topics including data optimization, secure communication, efficient resource allocation, and privacy-preserving strategies.",50198,14501,02_domain_policy_knowledge,technology_industry_digital,0,5,0
https://openalex.org/T14345,Scientific Research and Philosophical Inquiry,"This cluster of papers covers a wide range of topics related to information science and technology development, including the impact of digital technology, foresight methods, knowledge management, big data, innovation, media, ontology, and semantic search. The papers explore the intersection of information science with various fields such as economics, education, neuroscience, sociology, and environmental studies.",41415,106071,02_domain_policy_knowledge,technology_industry_digital,0,6,1
https://openalex.org/T11644,Spam and Phishing Detection,"This cluster of papers focuses on the detection and prevention of phishing attacks, including techniques such as spam detection, machine learning, bot detection, review spam analysis, URL filtering, and defense against Sybil attacks in social networks. The research also explores behavioral analysis for identifying suspicious activities and emphasizes the importance of security education in mitigating phishing threats.",37247,378005,02_domain_policy_knowledge,technology_industry_digital,0,1,0
https://openalex.org/T14280,Big Data Technologies and Applications,"This cluster of papers explores the impact of big data on society and industry, covering topics such as data management, machine learning, ethical considerations, and the transformation of various industries. It delves into the opportunities and challenges presented by the digital age, emphasizing the social and economic implications of big data.",26584,127022,02_domain_policy_knowledge,technology_industry_digital,0,3,0
