id,display_name,description,works_count,cited_by_count,policy_block,policy_subblock,score_core,score_domain,score_context
https://openalex.org/T10058,Entrepreneurship Studies and Influences,"This cluster of papers covers a wide range of topics related to entrepreneurship, including entrepreneurial orientation, opportunity recognition, social entrepreneurship, university technology transfer, venture growth, entrepreneurial education, innovation and economic growth, sustainable entrepreneurship, gender and entrepreneurship, and social capital. The papers explore various aspects of entrepreneurial behavior, business innovation, and the impact of entrepreneurship on economic development.",158039,2346232,02_domain_policy_knowledge,education_and_human_capital,0,17,0
https://openalex.org/T11556,"Poverty, Education, and Child Welfare","This cluster of papers focuses on the impact of interventions and policies related to child labor, education, and poverty reduction, particularly in the context of conditional cash transfers, school subsidies, and orphan care. It explores the effects of these interventions on household vulnerability, social protection, gender inequality, and primary education in low- and middle-income countries.",101183,811920,02_domain_policy_knowledge,education_and_human_capital,1,14,0
https://openalex.org/T10712,Library Science and Information Literacy,"This cluster of papers explores the concepts and practices of information literacy, digital literacy, and library instruction in the context of higher education. It delves into topics such as information behavior of different generations, critical thinking skills, user-centered design of academic libraries, and the impact of digital technologies on research and learning. The papers also discuss the evolving role of academic librarians, assessment of information literacy skills, and the challenges and opportunities for integrating information literacy into the curriculum.",99462,276629,02_domain_policy_knowledge,education_and_human_capital,0,3,0
https://openalex.org/T10208,Labor market dynamics and wage inequality,"This cluster of papers explores various aspects of labor market dynamics, including the impact of technological change on job susceptibility, the role of education and skills in wage inequality, the gender pay gap, job polarization, and the influence of personality traits on employment outcomes. It also delves into the effects of minimum wage policies and the implications of unemployment on the economy.",87843,1251886,02_domain_policy_knowledge,education_and_human_capital,1,17,0
https://openalex.org/T10674,School Choice and Performance,"This cluster of papers explores the impact of socioeconomic status on educational inequality, focusing on factors such as student achievement, teacher quality, school segregation, peer effects, and education policy. It delves into the complexities of school choice, academic achievement disparities, and the effectiveness of teacher performance pay in addressing inequality.",74821,1124475,02_domain_policy_knowledge,education_and_human_capital,1,9,0
https://openalex.org/T13161,Ideological and Political Education,"This cluster of papers focuses on the innovation and development of ideological and political education, particularly in the context of big data, artificial intelligence, wireless sensor networks, and deep learning. It explores topics such as network education, multimedia technology, and information systems for college students.",66075,22131,02_domain_policy_knowledge,education_and_human_capital,0,8,0
https://openalex.org/T13560,Socioeconomic Development in MENA,"This cluster of papers explores the dynamics of networking, human resource management, and cultural influences in the Middle East and Asia, with a focus on the concepts of Guanxi in China and Wasta in Arab countries. It delves into topics such as gender-segregated education, localization policies, the impact of regulations on HRM, challenges and achievements in education, and the role of informal social networks in shaping business practices.",65162,166785,02_domain_policy_knowledge,education_and_human_capital,1,2,1
https://openalex.org/T13166,Information Science and Libraries,"This cluster of papers covers a wide range of topics within the field of Information Science, including information policy, information mediation, society's access to information, information management, library science, archival studies, transparency, and cultural mediation. The papers explore the intersection of information with society, governance, education, and technology.",53540,33263,02_domain_policy_knowledge,education_and_human_capital,3,2,1
https://openalex.org/T12952,School Leadership and Teacher Performance,"This cluster of papers explores the influence of educational leadership, work motivation, and professionalism on teacher performance, as well as the role of principals in school improvement and the impact of organizational commitment. It also delves into topics such as transformational leadership, quality management, and motivational factors in the context of education.",51684,119665,02_domain_policy_knowledge,education_and_human_capital,0,6,0
https://openalex.org/T13867,Economic Growth and Development,"This cluster of papers explores the intersection of information and communication technology (ICT), financial access, inequality, and knowledge economy in the context of African countries. It investigates the role of mobile phones, governance, and education in promoting inclusive development and gender inclusion, while also examining the impact of ICT on institutional quality and economic growth.",48909,282561,02_domain_policy_knowledge,education_and_human_capital,3,3,1
https://openalex.org/T10726,Career Development and Diversity,"This cluster of papers explores the application of Social Cognitive Theory in the context of career development, with a focus on STEM education, gender disparities, and the experiences of underrepresented minorities. It delves into topics such as self-efficacy beliefs, role models, academic aspirations, and work satisfaction, aiming to create more inclusive science education and address the challenges faced by individuals pursuing careers in science and engineering. The research also emphasizes the importance of social influences, cultural stereotypes, and environmental factors in shaping career choices and outcomes.",47516,602416,02_domain_policy_knowledge,education_and_human_capital,0,3,2
