policy_subblock,topics_count,file
health_and_healthcare,141,relevant_topics_domain_health_and_healthcare.csv
education_and_human_capital,55,relevant_topics_domain_education_and_human_capital.csv
economy_finance_business,95,relevant_topics_domain_economy_finance_business.csv
labor_migration_social_development,44,relevant_topics_domain_labor_migration_social_development.csv
climate_energy_environment,134,relevant_topics_domain_climate_energy_environment.csv
agriculture_food_rural,61,relevant_topics_domain_agriculture_food_rural.csv
urban_housing_transport,62,relevant_topics_domain_urban_housing_transport.csv
technology_industry_digital,40,relevant_topics_domain_technology_industry_digital.csv
justice_security_disaster_risk,34,relevant_topics_domain_justice_security_disaster_risk.csv
international_development_and_trade,7,relevant_topics_domain_international_development_and_trade.csv
domain_general,26,relevant_topics_domain_domain_general.csv
