case_id	shape	types	state	terminal	ceiling	authority	signer	reentry	event	reason
happy.grounding_relation	one_case	grounding_relation	reentry_closed	none	permitted	false	empty	performed	none	-
happy.estimand_binding	one_case	estimand_binding	reentry_closed	none	permitted	false	empty	performed	none	-
happy.owner_writability	one_case	owner_writability	reentry_closed	none	permitted	false	empty	performed	none	-
happy.legal_mandate	one_case	legal_mandate	reentry_closed	none	permitted	false	empty	performed	none	-
happy.normative_authorization	one_case	normative_authorization	reentry_closed	none	permitted	false	empty	performed	none	-
happy.implementation_capacity_evidence	one_case	implementation_capacity_evidence	reentry_closed	none	permitted	false	empty	performed	none	-
happy.competent_human_decision	one_case	competent_human_decision	reentry_closed	none	permitted	false	empty	performed	none	-
happy.independent_audit	one_case	independent_audit	reentry_closed	none	permitted	false	empty	performed	none	-
form.grounding_relation	one_case	grounding_relation	admission_refused	none	permitted	false	empty	absent	none	independent_owner_verification_missing_or_refused
form.estimand_binding	one_case	estimand_binding	admission_refused	none	permitted	false	empty	absent	none	independent_owner_verification_missing_or_refused
form.owner_writability	one_case	owner_writability	admission_refused	none	permitted	false	empty	absent	none	independent_owner_verification_missing_or_refused
form.legal_mandate	one_case	legal_mandate	admission_refused	none	permitted	false	empty	absent	none	independent_owner_verification_missing_or_refused
form.normative_authorization	one_case	normative_authorization	admission_refused	none	permitted	false	empty	absent	none	independent_owner_verification_missing_or_refused
form.implementation_capacity_evidence	one_case	implementation_capacity_evidence	admission_refused	none	permitted	false	empty	absent	none	independent_owner_verification_missing_or_refused
form.competent_human_decision	one_case	competent_human_decision	admission_refused	none	permitted	false	empty	absent	none	independent_owner_verification_missing_or_refused
form.independent_audit	one_case	independent_audit	admission_refused	none	permitted	false	empty	absent	none	independent_owner_verification_missing_or_refused
rows.grounding_relation.0	one_case	grounding_relation	admission_refused	none	not_evaluated	false	empty	absent	none	non_data_object_missing
rows.grounding_relation.1	one_case	grounding_relation	admission_refused	none	not_evaluated	false	empty	absent	none	non_data_object_missing
rows.grounding_relation.1000	one_case	grounding_relation	admission_refused	none	not_evaluated	false	empty	absent	none	non_data_object_missing
rows.grounding_relation.1000000	one_case	grounding_relation	admission_refused	none	not_evaluated	false	empty	absent	none	non_data_object_missing
rows.estimand_binding.0	one_case	estimand_binding	admission_refused	none	not_evaluated	false	empty	absent	none	non_data_object_missing
rows.estimand_binding.1	one_case	estimand_binding	admission_refused	none	not_evaluated	false	empty	absent	none	non_data_object_missing
rows.estimand_binding.1000	one_case	estimand_binding	admission_refused	none	not_evaluated	false	empty	absent	none	non_data_object_missing
rows.estimand_binding.1000000	one_case	estimand_binding	admission_refused	none	not_evaluated	false	empty	absent	none	non_data_object_missing
rows.legal_mandate.0	one_case	legal_mandate	admission_refused	none	not_evaluated	false	empty	absent	none	non_data_object_missing
rows.legal_mandate.1	one_case	legal_mandate	admission_refused	none	not_evaluated	false	empty	absent	none	non_data_object_missing
rows.legal_mandate.1000	one_case	legal_mandate	admission_refused	none	not_evaluated	false	empty	absent	none	non_data_object_missing
rows.legal_mandate.1000000	one_case	legal_mandate	admission_refused	none	not_evaluated	false	empty	absent	none	non_data_object_missing
provisional.grounding_relation	one_case	grounding_relation	reentry_provisional_refusal	provisional	permitted	false	empty	performed	none	demanding_predicate_still_refused
