id,display_name,description,works_count,cited_by_count,policy_block,policy_subblock,score_core,score_domain,score_context
https://openalex.org/T11662,Legal Cases and Commentary,"This cluster of papers covers a wide range of scientific research topics, including scientific opinions on health claims, international law, copyright law, antitrust laws, corporate governance, environmental permitting, financial sector supervision, surrogacy regulation, and blockchain and smart contracting.",357376,6966,01_policy_core,governance_law_regulation,8,2,0
https://openalex.org/T12954,Law and Political Science,"This cluster of papers explores the evolution of legal systems, jurisprudence, and governance in European countries, focusing on topics such as party competition, legal methodology, privacy in the digital age, migration law, constitutional courts, regulatory agencies, human rights protection, European law dynamics, and criminal justice. It reflects a multidisciplinary approach to understanding the changing landscape of legal studies and its intersection with societal and technological developments.",305171,161358,01_policy_core,governance_law_regulation,17,4,2
https://openalex.org/T12633,Legal case studies and regulations,"This cluster of papers covers a wide range of topics related to global governance and international law, including regulatory policymaking, human rights, environmental governance, data privacy laws, corporate governance, intellectual property protection, immigration policy, and trade agreements. The papers discuss various legal and regulatory challenges in the context of globalization and the interconnectedness of national and international legal systems.",157938,4860,01_policy_core,governance_law_regulation,14,3,0
https://openalex.org/T14030,Taxation and Legal Issues,"This cluster of papers focuses on the European Union tax law and policy, particularly addressing issues such as tax avoidance, corporate taxation, financial reporting, cross-border taxation, the implementation of General Anti-Avoidance Rules (GAARs), and the impact of EU directives on member states' tax systems. The papers also explore the balance between tax sovereignty and the fundamental freedoms within the EU, as well as the harmonization of tax regulations across borders.",146188,132426,01_policy_core,governance_law_regulation,17,0,1
https://openalex.org/T11876,Legal Studies and Policies,"This cluster of papers covers a wide range of legal research topics, including normative and empirical methodologies, criminal law enforcement, Islamic banking, leadership styles, and community participation. It also delves into specific areas such as Hukum Agraria Indonesia and corporate criminal liability. The papers reflect a comprehensive exploration of legal research methodology and practice.",146023,259731,01_policy_core,governance_law_regulation,11,3,1
https://openalex.org/T12669,Comparative International Legal Studies,"This cluster of papers covers a wide range of legal and environmental topics, including contractual law, civil liability, consumer rights, corporate social responsibility, and environmental regulation. The focus is on the legal and ethical aspects of sustainable development, responsibility of the state, and the judicial system in Latin America.",145804,44799,01_policy_core,governance_law_regulation,7,2,0
https://openalex.org/T13154,Legal and Regulatory Analysis,"This cluster of papers covers a wide range of topics related to transport policy, legal regulation, economic security, public oversight, international trade law, logistics business processes, high-tech enterprises, regional industry modernization, hygienic condition, and environmental technologies.",145435,15892,01_policy_core,governance_law_regulation,8,4,0
https://openalex.org/T10749,International Law and Human Rights,"This cluster of papers focuses on the intersection of international criminal law, human rights obligations, and global governance. It explores topics such as state responsibility, norm conflicts, transnational legal pluralism, and the role of the Security Council in addressing war crimes and human rights violations.",144391,692488,01_policy_core,governance_law_regulation,8,1,0
https://openalex.org/T12332,Comparative constitutional jurisprudence studies,"This cluster of papers explores the intersection of constitutional rights, legal theory, and human rights in the context of Latin America. It delves into topics such as judicial review, constitutionalism, social rights, the role of the Inter-American Court, and various aspects of legal philosophy. The papers analyze the development and application of constitutional rights within the region, providing insights into jurisprudence and legal practices.",142048,116065,01_policy_core,governance_law_regulation,10,0,1
https://openalex.org/T13075,Legal Systems and Judicial Processes,"This cluster of papers covers a wide range of legal and policy topics, including transnational law, international justice, corporate governance, human rights, constitutional law, criminal justice, intellectual property, and environmental law. The papers explore various dimensions of legal and policy issues in a transnational context, reflecting the complexities and challenges of navigating the intersection of law and global affairs.",129187,185565,01_policy_core,governance_law_regulation,15,4,0
