id,display_name,description,works_count,cited_by_count,policy_block,policy_subblock,score_core,score_domain,score_context
https://openalex.org/T14256,Agricultural and Food Sciences,"This cluster of papers focuses on the utilization of forest biomass, including wood residues, for various applications such as bioenergy generation, value-added products, and sustainable production. It also explores the environmental impact, technological innovation, and economic analysis related to small-scale forestry and waste utilization.",125272,163520,02_domain_policy_knowledge,agriculture_food_rural,0,10,0
https://openalex.org/T12636,Regional Development and Innovation,"This cluster of papers explores the challenges and opportunities of rural territorial development in the context of globalization. It covers topics such as local economic growth, sustainable agriculture, community participation, knowledge management, and the impact of globalization on rural areas. The papers also discuss the role of industrial clusters, social capital, and regional competitiveness in shaping rural development.",118540,121060,02_domain_policy_knowledge,agriculture_food_rural,0,9,0
https://openalex.org/T11957,Food Safety and Hygiene,"This cluster of papers focuses on food safety and hygiene practices, including consumer awareness, food handling behaviors, HACCP implementation, risk perception, microbiological hazards, street food vendors, consumer behavior, and regulatory strategies.",61814,354814,02_domain_policy_knowledge,agriculture_food_rural,0,7,0
https://openalex.org/T13934,Indigenous Knowledge Systems and Agriculture,"This cluster of papers explores the intersection of indigenous knowledge and soil management practices, focusing on the role of local communities in sustainable agriculture, soil fertility assessment, and land use. It discusses the challenges and opportunities of integrating traditional farming systems with scientific soil knowledge for sustainable development.",13634,54839,02_domain_policy_knowledge,agriculture_food_rural,0,5,1
https://openalex.org/T12033,Agricultural Economics and Policy,"This cluster of papers focuses on the European Common Agricultural Policy (CAP) and its reform, addressing issues such as multifunctionality, sustainability, agricultural subsidies, land values, environmental policy, farm succession, and biodiversity. The papers analyze the impact of CAP on farm structure, income inequality, regional development, and environmental outcomes.",122695,369028,02_domain_policy_knowledge,agriculture_food_rural,6,9,1
https://openalex.org/T13378,Agricultural Development and Policies,"This cluster of papers focuses on the challenges and prospects in Russian agriculture, covering topics such as institutional challenges, food security, climate change, state support, digitalization, land management, import substitution, and sustainable development. The papers analyze the impact of government policies, agricultural production, trade restrictions, and environmental regulations on the agricultural sector in Russia.",21874,26671,02_domain_policy_knowledge,agriculture_food_rural,8,11,1
https://openalex.org/T11753,Forest Management and Policy,"This cluster of papers focuses on the impacts of climate change on forest carbon sequestration, sustainable forest management, and the economic value of European forests. It covers topics such as adaptive forest management, biodiversity conservation, private forest ownership, and the role of forests in mitigating climate change through carbon sinks.",140033,685965,02_domain_policy_knowledge,agriculture_food_rural,4,2,1
https://openalex.org/T11805,Agricultural economics and policies,"This cluster of papers covers a wide range of topics related to agricultural economics, rural development, sustainable agriculture, farm management, European agricultural policy, environmental impact, agribusiness, rural sociology, food logistics, and financial structure. The papers discuss issues such as multifunctionality of agriculture, efficiency of plant nutrient recycling, credit market imperfections, information technology in food and beverage logistics management, and the impact of externalities from swine production. They also address the role of agriculture in creating energy security, the importance of knowledge in the agricultural sector, and the economic impacts of avian influenza on world poultry trade.",58614,59666,02_domain_policy_knowledge,agriculture_food_rural,5,19,2
https://openalex.org/T13396,Agriculture and Rural Development Research,"This cluster of papers explores the evolution, sustainability, and adaptation of livestock farming systems, with a focus on work organization, diversity, multifunctionality, and the challenges faced by smallholder farmers. It delves into topics such as agricultural development, agroecology, and the impact of climate change on livestock farming. The papers also discuss strategies for enhancing the sustainability and resilience of livestock farming systems.",319507,607860,02_domain_policy_knowledge,agriculture_food_rural,0,10,0
https://openalex.org/T13508,Agricultural Economics and Practices,"This cluster of papers focuses on agricultural development, policy analysis, and economic sustainability in South Asia, particularly in India. It covers topics such as production technology, climate change impact, food security, and the economic analysis of agricultural practices. The papers also discuss the challenges and potential strategies for sustainable agricultural development in the region.",109127,238756,02_domain_policy_knowledge,agriculture_food_rural,2,10,0
https://openalex.org/T13591,Pasture and Agricultural Systems,"This cluster of papers focuses on the management of perennial pasture systems in Australia, with an emphasis on topics such as grazing management, water use efficiency, drought survival strategies, soil water balance, and the impact of climate change. The research explores the characteristics and performance of temperate grasses, sustainable grazing systems, and the potential contribution of perennial legumes to agricultural sustainability in dryland cropping systems.",107720,173252,02_domain_policy_knowledge,agriculture_food_rural,0,6,0
https://openalex.org/T14010,Food Industry and Aquatic Biology,"This cluster of papers covers a wide range of topics related to food security, nutrition, and sustainable development. It includes research on the impact of climate change on food production, the development of functional foods, fisheries management, micronutrient deficiencies, and economic implications of agricultural policies. The papers also address issues such as the use of by-products in food production, assessment of bioavailability of minerals, and the role of innovative technologies in improving food quality and safety.",95586,255523,02_domain_policy_knowledge,agriculture_food_rural,1,14,0
https://openalex.org/T12098,Rural development and sustainability,"This cluster of papers explores the multifaceted aspects of rural development, agricultural change, and the evolving landscapes of rural areas. It delves into topics such as social innovation, neo-endogenous development, rural resilience, counterurbanization, gender identity in farming, multifunctional agriculture, rural gentrification, and community empowerment.",77003,467035,02_domain_policy_knowledge,agriculture_food_rural,0,11,1
https://openalex.org/T14372,Environmental and Biological Research in Conflict Zones,"This cluster of papers explores the multifaceted impacts of warfare, particularly the Russia-Ukraine conflict, on the environment, global food security, renewable energy development, supply chains, and biodiversity conservation. It delves into the consequences for water resources, climate change, and the potential disruptions to energy transition efforts. The cluster also addresses the implications for sustainable development goals and the long-term environmental consequences of war.",73728,83369,02_domain_policy_knowledge,agriculture_food_rural,0,10,0
