id,display_name,description,works_count,cited_by_count,policy_block,policy_subblock,score_core,score_domain,score_context
https://openalex.org/T12736,Criminal Justice and Penology,"This cluster of papers covers a wide range of topics related to criminal justice, including penal systems, social control, insecurity, delinquency, prison systems, crime prevention, victimology, restorative justice, and the impact of globalization on these issues.",115067,62221,02_domain_policy_knowledge,justice_security_disaster_risk,0,12,0
https://openalex.org/T12550,"Politics and Conflicts in Afghanistan, Pakistan, and Middle East","This cluster of papers focuses on the complex issues of conflict reconstruction, state-building, and security in Afghanistan and Pakistan, with a particular emphasis on the influence of the Taliban, militant Islam, and the challenges of nation-building in Central Asia. The papers explore the historical, political, economic, and cultural dimensions of these conflicts and their implications for reconstruction efforts.",107093,389877,02_domain_policy_knowledge,justice_security_disaster_risk,0,0,2
https://openalex.org/T10718,Political Philosophy and Ethics,"This cluster of papers explores theoretical perspectives on global justice, including discussions on human rights, cosmopolitanism, equality, distributive justice, democratic theory, Rawlsian justice, multiculturalism, social responsibility, and international law.",95161,1066063,02_domain_policy_knowledge,justice_security_disaster_risk,1,3,0
https://openalex.org/T12921,European Criminal Justice and Data Protection,"This cluster of papers explores various aspects of European Union criminal law and justice cooperation, including mutual recognition, human rights protection, the European Arrest Warrant, prosecution service function, and the legal framework within the Schengen Area. It delves into the complexities and challenges of harmonizing criminal proceedings across EU member states while upholding fundamental rights and judicial cooperation.",93646,173585,02_domain_policy_knowledge,justice_security_disaster_risk,2,11,6
https://openalex.org/T11076,Policing Practices and Perceptions,"This cluster of papers explores the impact of procedural justice, legitimacy, and racial bias on public support for policing. It delves into topics such as community policing, citizen perceptions, use of force, and the influence of police culture on public trust. The research also examines the role of social identity in shaping attitudes towards law enforcement.",90723,399887,02_domain_policy_knowledge,justice_security_disaster_risk,1,1,2
https://openalex.org/T14086,Military and Defense Studies,"This cluster of papers explores the rise of the privatized military industry, the outsourcing of war and security functions, the impact on international law and civil-military relations, and the challenges and opportunities in global governance and peacekeeping operations.",67822,139335,02_domain_policy_knowledge,justice_security_disaster_risk,3,1,0
https://openalex.org/T12572,"Intelligence, Security, War Strategy","This cluster of papers covers a wide range of topics related to intelligence studies, analysis, and security in the modern context. It includes discussions on open source intelligence (OSINT), international cooperation, ethical considerations, intelligence failures, and the impact of intelligence on international relations and policy-making.",63807,225717,02_domain_policy_knowledge,justice_security_disaster_risk,1,0,0
https://openalex.org/T12936,"Conflict, Peace, and Violence in Colombia","This cluster of papers focuses on the armed conflict in Colombia, including topics such as forced displacement, transitional justice, psychosocial impact, and the role of the private sector in peace processes. It also delves into the dynamics of paramilitarism, human rights violations, and the peace process in Colombia.",43126,45004,02_domain_policy_knowledge,justice_security_disaster_risk,0,1,0
https://openalex.org/T12263,Peacebuilding and International Security,"This cluster of papers explores the intersection of the local turn in peacebuilding, resilience governance, and the challenges of international intervention in post-conflict societies. It delves into topics such as hybridity, neoliberalism, security sector reform, everyday peace, and the complexities of humanitarian action.",34331,216813,02_domain_policy_knowledge,justice_security_disaster_risk,2,0,0
https://openalex.org/T12865,Tailings Management and Properties,"This cluster of papers focuses on the characteristics, failure, and remediation of mine tailings dams, with an emphasis on environmental impacts and sustainable management practices. It covers topics such as the design and application of cemented paste backfill, the effects of curing temperature on mechanical properties, and the environmental impacts of tailing dam failures. The cluster also explores the socio-economic and ecological impacts of dam breaches, as well as strategies for waste management and disaster risk disclosure in the mining industry.",20372,112271,02_domain_policy_knowledge,justice_security_disaster_risk,0,4,0
https://openalex.org/T13728,"Crime, Deviance, and Social Control","This cluster of papers explores the concept of moral panic, societal reactions to perceived deviance, and the role of media and public discourse in amplifying social anxiety. It delves into topics such as risk society, youth violence, cultural diversity, and the regulation of behavior in response to perceived threats.",19365,161599,02_domain_policy_knowledge,justice_security_disaster_risk,0,4,1
https://openalex.org/T14111,Diverse Research Studies Overview,"This cluster of papers explores the multifaceted issue of kidnapping, particularly in the context of Nigeria, addressing its societal impact, criminal justice responses, victims' experiences, and implications for tolerance and socio-economic development.",6018,2728,02_domain_policy_knowledge,justice_security_disaster_risk,0,2,0
https://openalex.org/T13376,Criminal Law and Policy,"This cluster of papers covers a wide range of topics related to the criminal justice system in Germany, including criminal law, prison system, legal reforms, youth offenders, security measures, drug policy, human rights violations, constitutional law, psychiatric evaluation, and corporate criminal liability.",143345,82705,02_domain_policy_knowledge,justice_security_disaster_risk,13,8,0
https://openalex.org/T14493,Criminal Law and Evidence,"This cluster of papers explores the intersection of criminal procedure and human rights, with a focus on topics such as the exclusionary rule, Fourth Amendment, surveillance law, terrorism legislation, judicial oversight, privacy rights, and prosecutorial misconduct.",78357,111869,02_domain_policy_knowledge,justice_security_disaster_risk,5,5,0
https://openalex.org/T11838,"Crime, Illicit Activities, and Governance","This cluster of papers focuses on the analysis of organized crime, criminal networks, and their impact on society. It covers topics such as drug trafficking, money laundering, violence, law enforcement strategies, globalization's influence, corruption, and the role of gangs in criminal activities.",73230,438395,02_domain_policy_knowledge,justice_security_disaster_risk,9,7,0
https://openalex.org/T12519,Cybercrime and Law Enforcement Studies,"This cluster of papers explores various aspects of cybercrime, including identity theft, online fraud, drug trafficking on the dark web, hacker communities, and the application of routine activity theory to understand victimization. It delves into the complexities of cryptomarkets, law enforcement challenges, and the psychological and financial impact of cyber-fraud victimization.",38976,160065,02_domain_policy_knowledge,justice_security_disaster_risk,5,0,1
https://openalex.org/T14492,"War, Law, and Justice","This cluster of papers focuses on the intersection of transitional justice, international law, and conflict zones. It explores topics such as human rights, war crimes, security, martial law, criminal justice, truth and reconciliation processes, gender issues, and legal regulation in the context of post-conflict societies. The papers cover a wide range of geographical areas and historical periods, providing a comprehensive analysis of the challenges and strategies related to transitional justice.",12719,1841,02_domain_policy_knowledge,justice_security_disaster_risk,8,8,1
https://openalex.org/T12825,"Defense, Military, and Policy Studies","This cluster of papers explores the complex relationship between military expenditure, economic growth, and national security. It includes analyses of defense spending's impact on economic development, the dynamics of arms trade, the role of alliances in military burden-sharing, and the implications for public policy and global economy. The research also delves into the technological aspects of defense innovation and the long-term consequences of military conscription.",62795,234063,02_domain_policy_knowledge,justice_security_disaster_risk,6,2,0
