id,display_name,description,works_count,cited_by_count,policy_block,policy_subblock,score_core,score_domain,score_context
https://openalex.org/T10055,Diverse Aspects of Tourism Research,"This cluster of papers explores the impact of tourism on destinations and communities, focusing on topics such as destination image, tourist satisfaction, community perceptions, sustainable tourism, COVID-19 impact, destination loyalty, place branding, and the role of tourism in economic growth. The research covers a wide range of factors influencing the development and management of tourism, with a particular emphasis on understanding the effects of tourism on various aspects of society and the economy.",161885,1835471,02_domain_policy_knowledge,domain_general,0,0,0
https://openalex.org/T12137,Economic theories and models,"This cluster of papers explores the existence, dynamics, and implications of monetary equilibrium models, including topics such as asset pricing, liquidity, competitive economy, bubbles, search equilibrium, indeterminacy, credit constraints, and their impact on financial stability and economic growth.",139283,2419069,02_domain_policy_knowledge,domain_general,1,0,0
https://openalex.org/T12767,Conflict of Laws and Jurisdiction,"This cluster of papers explores the impact and implications of private international law within the context of the European Union. It covers a wide range of topics such as jurisdiction agreements, succession regulation, cross-border litigation, family law, choice of law, and the Brussels Regulation. The papers discuss the challenges and opportunities for legal harmonization in the EU.",137393,198892,02_domain_policy_knowledge,domain_general,4,0,1
https://openalex.org/T12010,Evaluation and Performance Assessment,"This cluster of papers focuses on theory-based evaluation methods, such as concept mapping and realist synthesis, for analyzing complex interventions. It also explores evaluation capacity building, logic models, empowerment evaluation, and the role of evidence-based policy in shaping evaluation practices.",104568,1201344,02_domain_policy_knowledge,domain_general,1,0,0
https://openalex.org/T10108,Electoral Systems and Political Participation,"This cluster of papers covers a wide range of topics in political science, including empirical analyses of voter behavior, party polarization, public opinion formation, economic policy, campaign effects, electoral systems, and policy formation in democracies. The papers delve into understanding the dynamics of political behavior and institutions through rigorous empirical methods.",98888,1686537,02_domain_policy_knowledge,domain_general,4,0,0
https://openalex.org/T12728,Demographic Trends and Gender Preferences,"This cluster of papers explores the persistent gender imbalance in East and South Asia, focusing on son preference, sex ratios, sex-selective abortion, the impact of the one-child policy, gender bias, fertility decline, and the consequences of missing women. The research also delves into factors such as maternal diet and socioeconomic influences on gender imbalance.",83109,502524,02_domain_policy_knowledge,domain_general,1,0,0
https://openalex.org/T10042,Neural and Behavioral Psychology Studies,"This cluster of papers explores the neural mechanisms underlying cognitive control, decision making, executive functions, and emotion regulation. It covers topics such as prefrontal cortex function, attentional networks, reward processing, and the development of cognitive control in the adolescent brain.",78691,2831874,02_domain_policy_knowledge,domain_general,1,0,0
https://openalex.org/T13135,"Communism, Protests, Social Movements","This cluster of papers explores the global social movements, transnational activism, and countercultural phenomena of the 1960s and 1970s. It delves into topics such as decolonization, protest, solidarity, and internationalism, reflecting the interconnected nature of social and political movements during this period.",77517,125471,02_domain_policy_knowledge,domain_general,0,0,0
https://openalex.org/T13614,Social and Economic Solidarity,"This cluster of papers explores the concepts of solidarity economy, social management, reciprocity, and autogestão, focusing on topics such as cooperatives, community development, ethical values, and qualitative research. It delves into the theoretical and practical aspects of building a more socially responsible and sustainable economic system.",77108,113578,02_domain_policy_knowledge,domain_general,0,0,0
https://openalex.org/T11432,Gender Politics and Representation,"This cluster of papers explores the representation and impact of women in political decision-making, including studies on gender quotas, feminist theory, voting behavior, and the intersectionality of gender with other social categories. It also delves into the concept of descriptive representation and its effects on policy outcomes, as well as the global governance of gender issues.",75795,680477,02_domain_policy_knowledge,domain_general,3,0,0
https://openalex.org/T13051,Qualitative Comparative Analysis Research,"This cluster of papers focuses on the application of Qualitative Comparative Analysis (QCA) and related set-theoretic methods in social science research. It emphasizes the exploration of causal complexity, configurational theory, and methodological pluralism, utilizing techniques such as process tracing and case study methods to understand complex causality. The cluster also highlights the integration of multi-method approaches and comparative-historical methodology in social science research.",64821,377856,02_domain_policy_knowledge,domain_general,1,0,1
https://openalex.org/T11042,Corruption and Economic Development,"This cluster of papers explores the causes and effects of corruption, focusing on its impact on governance, economic growth, institutions, democracy, and the public sector. The research delves into cross-national studies, bribery, political economy, and regulatory aspects related to corruption.",61417,647913,02_domain_policy_knowledge,domain_general,4,0,0
https://openalex.org/T10646,Experimental Behavioral Economics Studies,"This cluster of papers explores the role of social preferences in economic behavior through a wide range of experimental studies. It investigates topics such as reciprocity, cooperation, incentives, gender differences, trust, fairness, altruism, and competition. The research delves into the psychological and behavioral aspects that influence decision-making in economic contexts.",59624,1400964,02_domain_policy_knowledge,domain_general,0,0,0
https://openalex.org/T11252,Evolutionary Game Theory and Cooperation,"This cluster of papers explores the evolution of cooperation, altruism, and social behavior in various systems, including human societies, microbial communities, and religious groups. It investigates the role of evolutionary games, social networks, indirect reciprocity, and cultural evolution in shaping cooperative behaviors and examines the dynamics of public goods games and the emergence of altruistic punishment. Additionally, it delves into the interplay between genetic and cultural factors in promoting prosocial behaviors.",59192,1390583,02_domain_policy_knowledge,domain_general,0,0,2
https://openalex.org/T12397,Critical Theory and Philosophy,"This cluster of papers revolves around Critical Theory, focusing on social pathologies, recognition, multiple modernities, and the critique of capitalism. It delves into topics such as normative critique, deliberative democracy, ideology critique, the Axial Age, and the cultural turn in understanding modernity.",57221,488251,02_domain_policy_knowledge,domain_general,1,0,1
https://openalex.org/T14080,"Philosophy, Sociology, Political Theory","This cluster of papers explores the complex dynamics of family structures, societal changes, individual autonomy, psychotherapy, intercultural communication, parenting challenges, social cohesion, ethical dilemmas, youth development, and sovereignty debates.",55816,39313,02_domain_policy_knowledge,domain_general,0,0,4
