policy_block,policy_subblock,topics_count,total_works_count,total_cited_by_count
01_policy_core,core_general,9,604577,4275976
01_policy_core,governance_law_regulation,46,3752567,6228367
01_policy_core,international_and_public_institutions,8,852341,2410537
01_policy_core,macro_fiscal_monetary_policy,9,932623,8280040
01_policy_core,policy_methods_and_evaluation,3,213722,4113857
01_policy_core,social_labor_welfare_policy,6,654286,1963386
02_domain_policy_knowledge,agriculture_food_rural,61,3558637,15985912
02_domain_policy_knowledge,climate_energy_environment,134,7986799,67634586
02_domain_policy_knowledge,domain_general,26,1697623,18167774
02_domain_policy_knowledge,economy_finance_business,95,9176665,46313647
02_domain_policy_knowledge,education_and_human_capital,55,2495108,14266632
02_domain_policy_knowledge,health_and_healthcare,141,8661017,60637507
02_domain_policy_knowledge,international_development_and_trade,7,498248,1989413
02_domain_policy_knowledge,justice_security_disaster_risk,34,2130866,9481074
02_domain_policy_knowledge,labor_migration_social_development,44,2548388,14562331
02_domain_policy_knowledge,technology_industry_digital,40,2063070,10352404
02_domain_policy_knowledge,urban_housing_transport,62,3689478,18334647
03_context_sociocultural,comparative_area_studies,12,939427,2516580
03_context_sociocultural,country_region_profiles,82,8001453,14744466
03_context_sociocultural,historical_political_context,44,3045196,6278177
03_context_sociocultural,sociocultural_identity_values,82,3448739,14680374
