id,display_name,description,works_count,cited_by_count,policy_block,policy_subblock,score_core,score_domain,score_context
https://openalex.org/T13379,"Multiculturalism, Politics, Migration, Gender","This cluster of papers explores the intersection of reform, family law, and democratic progress in North African and Middle Eastern countries, with a focus on the impact of Islam, gender dynamics, social change, and migration. It delves into the complexities of political Islam, the role of religion in society, and the challenges and advancements in promoting democracy within these regions.",228432,282478,02_domain_policy_knowledge,labor_migration_social_development,2,5,2
https://openalex.org/T11421,Labor Movements and Unions,"This cluster of papers focuses on labor relations, union revitalization, collective bargaining, and the impact of globalization on trade unions. It explores topics such as worker participation, employee voice, employer resistance to unionism, and the changing dynamics of workplace governance in the context of global economic shifts.",203102,1273751,02_domain_policy_knowledge,labor_migration_social_development,2,6,0
https://openalex.org/T14490,Human Rights and Immigration,"This cluster of papers explores the intersection of social and economic rights, European Union law, and constitutional principles, with a focus on issues such as labor rights, welfare state policies, the impact of globalization, and the response to COVID-19. It delves into debates surrounding the protection of vulnerable groups, the role of international organizations, and the challenges posed by economic crises. The cluster reflects a multidisciplinary approach to understanding and promoting social rights within the context of European legal frameworks.",141159,74376,02_domain_policy_knowledge,labor_migration_social_development,5,5,2
https://openalex.org/T10349,Migration and Labor Dynamics,"This cluster of papers explores the complex dynamics of migration networks, including the impacts of immigration on labor markets, the role of remittances in development, the formation and influence of transnational families, and the effects of brain drain. It also delves into topics such as social networks, human capital, gender aspects of migration, and the broader implications of globalization.",132848,1327431,02_domain_policy_knowledge,labor_migration_social_development,0,12,0
https://openalex.org/T12693,"Migration, Ethnicity, and Economy","This cluster of papers explores the phenomenon of immigrant entrepreneurship in advanced economies, focusing on topics such as mixed embeddedness, transnational entrepreneurship, social capital, diaspora entrepreneurship, and refugee entrepreneurship. It delves into the challenges, opportunities, and characteristics of immigrant-owned businesses and their impact on urban economic development.",113609,890604,02_domain_policy_knowledge,labor_migration_social_development,0,9,0
https://openalex.org/T11544,"Gender, Labor, and Family Dynamics","This cluster of papers explores the intersection of gender inequality, labor force dynamics, welfare reform, and household decision making. It delves into topics such as the impact of income tax policies on female labor supply, the effects of welfare reform on work incentives, and the role of gender in shaping economic development and intrahousehold resource allocation.",109671,1368864,02_domain_policy_knowledge,labor_migration_social_development,3,7,0
https://openalex.org/T13911,"Employment, Labor, and Gender Studies","This cluster of papers covers a wide range of topics related to labor markets, social policies, work-life balance, employment relations, and the impact of globalization on the workforce. It delves into issues such as precarious work, gender equality in the workplace, the role of trade unions, and the challenges of achieving work-life balance in modern economies.",107166,92311,02_domain_policy_knowledge,labor_migration_social_development,1,11,0
https://openalex.org/T12783,"Migration, Aging, and Tourism Studies","This cluster of papers explores the phenomenon of lifestyle migration, focusing on the movement of individuals, particularly retirees, to seek a better way of life in different locations. It encompasses topics such as retirement migration, second homes, amenity migration, elderly mobility, transnational lifestyles, rural development, community fragmentation, and the impact of global population aging on migration patterns.",94211,371112,02_domain_policy_knowledge,labor_migration_social_development,0,9,0
https://openalex.org/T10446,"Income, Poverty, and Inequality","This cluster of papers explores the complex relationship between income inequality, poverty dynamics, and human development. It delves into various measurement approaches, including the capability approach, and examines the impact of economic growth, globalization, and social justice on wealth distribution. Additionally, it addresses multidimensional poverty and gender inequality.",80041,1135839,02_domain_policy_knowledge,labor_migration_social_development,0,13,0
https://openalex.org/T13035,Human Rights and Development,"This cluster of papers explores the intersection of human rights and development within the context of global governance, focusing on the critique and implementation of Millennium Development Goals, challenges in achieving sustainable development, social inequality, and the use of indicators to measure progress. It also delves into the implications of a rights-based approach, international cooperation, and the evolving landscape of human rights in the pursuit of equitable development.",77958,380809,02_domain_policy_knowledge,labor_migration_social_development,2,1,0
https://openalex.org/T13491,Social and Political Issues,"This cluster of papers explores the intersection of social welfare, political economy, and public policy in Brazil, focusing on topics such as assistance programs, inequality, neoliberalism, poverty, and democracy. It delves into the challenges faced by social workers and the impact of political ideologies on social welfare initiatives.",72440,76044,02_domain_policy_knowledge,labor_migration_social_development,3,2,0
https://openalex.org/T10722,Work-Family Balance Challenges,"This cluster of papers explores the intricate dynamics of work and family interactions, including work-family conflict, telecommuting, gender inequality, family supportive policies, flexible work arrangements, parental leave, remote working, job satisfaction, gender roles, and work-life balance.",66956,970290,02_domain_policy_knowledge,labor_migration_social_development,1,1,0
https://openalex.org/T13894,Indian Economic and Social Development,"This cluster of papers focuses on the economic reforms, globalization, and development policies in India since 1991. It explores the impact of liberalization, industrialization, and the role of information technology on India's economy. The papers also delve into the political economy and neo-liberalism in the context of Indian economic growth.",63848,197507,02_domain_policy_knowledge,labor_migration_social_development,1,2,0
https://openalex.org/T11552,"Global trade, sustainability, and social impact","This cluster of papers focuses on the governance, dynamics, and impacts of global value chains and production networks, with an emphasis on private governance, standards, upgrading, labor conditions, sustainability, certification schemes, and fair trade. It explores the interactions between state and non-state actors in regulating economic activities across global supply chain networks.",61234,508195,02_domain_policy_knowledge,labor_migration_social_development,4,6,0
https://openalex.org/T13473,Economic Zones and Regional Development,"This cluster of papers explores the economic impact, development potential, and challenges of Special Economic Zones (SEZs) and Export Processing Zones (EPZs) in various countries, with a focus on regional development, industrial clusters, global trade, ethnic diversity, sustainable development, FDI attraction, and labor conditions. The papers provide insights into the role of SEZs in shaping economic policies and fostering growth in emerging economies.",59086,130885,02_domain_policy_knowledge,labor_migration_social_development,1,3,0
